"	num_examples	official_name_id_x	id	text_name	author	rank	deprecated	synonym_id	correct_spelling_id	official_name_id_y",,,
"88	216	130.0	130	Peziza repanda	Pers.	4	0	3644.0		-1",,,
"228	216	328.0	328	Cantharellus minor	Peck	4	0	5372.0		-1",,,
"628	216	1164.0	1164	Phallus ravenelii	Berk. & Curt.	4	0	3233.0		-1",,,
"4597	216	18382.0	18382	Leccinellum albellum	(Peck) Bresinsky & Manfr. Binder	4	0	2793.0		-1",,,
"161	217	240.0	240	Helvella crispa	(Scop.) Fr.	4	0	2544.0		-1",,,
"1743	217	3961.0	3961	Tylopilus badiceps	(Peck) A.H. Sm. & Thiers	4	0			-1",,,
"674	218	1257.0	1257	Lentinus tigrinus	(Bull.) Fr.	4	0	4438.0		-1",,,
"6185	218	28469.0	28469	Psilocybe subtropicalis	GuzmÃ¡n	4	0	4507.0		-1",,,
"6838	218	30030.0	30030	Helvella vespertina	Nguyen & Vellinga	4	0			-1",,,
"8514	218	44676.0	44676	Pluteus americanus	(P. Banerjee & Sundb.) Justo"," E.F. Malysheva & Minnis	4	0			-1",,
"1742	219	3957.0	3957	Tylopilus alboater	(Schwein.) Murrill	4	0			-1",,,
"3853	219	15053.0	15053	Boletus vermiculosoides	A.H. Sm. & Thiers	4	0			-1",,,
"160	220	239.0	239	Helvella lacunosa	Afzel.	4	0	170.0		-1",,,
"2431	220	6315.0	6315	Lactarius chrysorrheus	Fr.	4	0	675.0		-1",,,
"131	221	196.0	196	Lactarius rubrilacteus	Hesler & A.H. Sm.	4	0	6230.0		-1",,,
"8710	222	46034.0	46034	Fulvifomes robiniae	(Murrill) Murrill	4	0	4710.0		-1",,,
"5	223	12.0	12	Verpa bohemica	(Krombh.) J. SchrÃ¶t.	4	0	2545.0		-1",,,
"122	224	184.0	184	Lepiota magnispora	Murrill	4	0			-1",,,
"1357	224	3005.0	3005	Marasmius rotula	(Scop.) Fr.	4	0	3238.0		-1",,,
"793	225	1537.0	1537	Boletellus chrysenteroides	(Snell) Snell	4	0	4499.0		-1",,,
"1989	225	5132.0	5132	Chlorophyllum olivieri	(Barla) Vellinga	4	0			-1",,,
"5732	225	26028.0	26028	Phlebia radiata	Fr.	4	0	299.0		-1",,,
"51	226	78.0	78	Russula cyanoxantha	(Schaeff.) Fr.	4	0			-1",,,
"352	226	522.0	522	Gomphidius oregonensis	Peck	4	0			-1",,,
"372	226	553.0	553	Agaricus subrutilescens	(Kauffman) Hotson & D.E. Stuntz	4	0			-1",,,
"3795	227	14927.0	14927	Boletus regineus	Arora & Simonini	4	0			-1",,,
"217	228	313.0	313	Clitocybe fragrans	(With.) P. Kumm.	4	0	64.0		-1",,,
"405	228	618.0	618	Helvella acetabulum	(L.) QuÃ©l.	4	0			-1",,,
"447	228	691.0	691	Tricholoma myomyces	(Pers.) J.E. Lange	4	0	2832.0		-1",,,
"164	229	243.0	243	Gyromitra infula	(Schaeff.) QuÃ©l.	4	0	3393.0		-1",,,
"391	229	588.0	588	Russula cremoricolor	Earle	4	0			-1",,,
"2619	229	6639.0	6639	Xylobolus frustulatus	(Pers.) P. Karst.	4	0	5225.0		-1",,,
"5346	229	24053.0	24053	Volvariella bombycina	(Schaeff.) Singer	4	0	2973.0		-1",,,
"7392	229	31753.0	31753	Agaricus bernardi	QuÃ©l.	4	0	3622.0		-1",,,
"251	230	370.0	370	Amanita pachycolea	D.E. Stuntz	4	0	5538.0		-1",,,
"453	230	700.0	700	Hygrophorus hypothejus	(Fr.) Fr.	4	0	2821.0		-1",,,
"196	232	284.0	284	Craterellus cornucopioides	(L.) Pers.	4	0	3113.0		-1",,,
"921	232	1919.0	1919	Cortinarius corrugatus	Peck	4	0	3878.0		-1",,,
"2361	232	6110.0	6110	Pholiota granulosa	(Peck) A.H. Sm. & Hesler	4	0	4275.0		-1",,,
"330	233	491.0	491	Russula xerampelina	(Schaeff.) Fr.	4	0	4825.0		-1",,,
"874	233	1795.0	1795	Lepista sordida	(Schumach.) Singer	4	0	68.0		-1",,,
"497	234	929.0	929	Coltricia perennis	(L.) Murrill	4	0	5378.0		-1",,,
"1970	234	5057.0	5057	Amanita multisquamosa	Peck	4	0	559.0		-1",,,
"2088	234	5409.0	5409	Pholiotina rugosa	(Peck) Sing.	4	0	609.0		-1",,,
"4083	234	16127.0	16127	Cantharellula umbonata	(J.F. Gmel.) Singer	4	0	3825.0		-1",,,
"384	235	571.0	571	Lepiota cristata	(Bolton) P. Kumm.	4	0			-1",,,
"2254	235	5814.0	5814	Russula parvovirescens	Buyck"," D. Mitch. & Parrent	4	0			-1",,
"7666	235	39909.0	39909	Auricularia nigricans	(Fr.: Fr.) Birkebak", Looney," & SÃ¡nchez-GarcÃ_a	4	0			-1",
"8814	235	47544.0	47544	Entoloma medianox	C.F. Schwarz	4	0	4904.0		-1",,,
"158	236	235.0	235	Hericium abietis	(Weir ex Hubert) K.A. Harrison	4	0	173.0		-1",,,
"1626	236	3683.0	3683	Sarcoscypha occidentalis	(Schwein.) Sacc.	4	0			-1",,,
"1940	236	4951.0	4951	Inocybe geophylla	(Pers.) P. Kumm.	4	0	3047.0		-1",,,
