Tuckermanopsis,3
Hispidocalyptella,3
Himantormia,3
Heterosphaeria,3
Cylindrosporella,3
Helicosporium,3
Tylophoron,3
Haplotrichum,3
Hallingea,3
Tripospermum,3
Neopeckia,3
Bipolaris,3
Thismia,3
Cephaleuros,3
Ramicola,3
Quaternaria,3
Beenakia,3
Spilonema,3
Pyncnoporus,3
Psorotichia,3
Catinaria,3
Broomeia,3
Pseudoclitopilus,3
Solioccasus,3
Pseudocarp,3
Sawadaea,3
Prosthecium,3
Sciaphila,3
Polystichum,3
Sillia,3
Placomaronea,3
Phacidium,3
Calycellina,3
Aurantiopileus,3
Phellinidium,3
Phragmotrichum,3
Odonticium,3
Spiropes,3
Camaropella,3
Rhodofomitopsis,3
Rhodotorula,3
Retinocyclus,3
Neuroterus,3
Belonia,3
Rectipilus,3
Wahlenbergiella,4
Amphirosellinia,4
Podostroma,4
Eopyrenula,4
Austrogautieria,4
Cryptomyces,4
Blastomyces,4
Cryptospora,4
Hydnocystis,4
Calathella,4
Tubakia,4
Homo,4
Acrasis,4
Hydnora,4
Amphisphaerella,4
Podofomes,4
Entomosporium,4
Anisoptera,4
Langermannia,4
Lanatonectria,4
Coprobia,4
Rhopalomyces,4
Endocalyx,4
Podophacidium,4
Serratia,4
Picea,4
Cornicularia,4
Tranzschelia,4
Kavinia,4
Pityopus,4
Calosphaeria,4
Dothidea,4
Eutryblidiella,4
Acrostalagmus,4
Heterogastridium,4
Filobasidiella,4
Rugosospora,4
Gibberella,4
Aegerita,4
Verrucocladisporium,4
Flakea,4
Ruzenia,4
Albomagister,4
Ramonia,4
Rebentischia,4
Belonidium,4
Vouauxiella,4
Funalia,4
Frantisekia,4
Gallacea,4
Aleurina,4
Wilsoniana,4
Bremia,4
Helicoon,4
Didymella,4
Sarophorum,4
Tympanella,4
Tympanis,4
Pseudoparmelia,4
Hafellia,4
Gymnopaxillus,4
Pseudovalsa,4
Allium,4
Tomentellina,4
Allantoparmelia,4
Pseudoxenasma,4
Graphiopsis,4
Actias,4
Didymobotryum,4
Griseoporia,4
Stephanospora,4
Aurantioporthe,4
Cladobotryum,4
Melanotus,4
Seynesia,4
Pannoparmelia,4
Sphaerellothecium,4
Paracoccidioides,4
Megaspora,4
Massospora,4
Clavulicium,4
Manduca,4
Thelebolus,4
Lymantria,4
Petractis,4
Loweomyces,4
Cocos,4
Asteroma,4
Sistotremella,4
Circinotrichum,4
Asterella,4
Stigmatella,4
Cerocorticium,4
Ascochyta,4
Neofusicoccum,4
Neoclitocybe,4
Sporastatia,4
Ceratosphaeria,4
Chaetomium,4
Naohidemyces,4
Naetrocymbe,4
Arxiomyces,4
Octavianina,4
Mineral,4
Stromatocyphella,4
Microleptodiscus,4
Metarhizium,4
Thraustochytrium,4
Sphagnomphalia,4
Lobulicium,4
Aulographina,4
Phacellium,4
Licrostroma,4
Coleoptera,4
Anthina,4
Timgrovea,4
Tilachlidiopsis,4
Leproloma,4
Scopulariopsis,5
Austrobasidium,5
Rhizophydium,5
Epithele,5
Achlya,5
Wolfiporia,5
Eriophyes,5
Splanchospora,5
Diplocarpon,5
Gloeosporium,5
Pezizella,5
Limodorum,5
Munkia,5
Scytinostromella,5
Femsjonia,5
Cenangium,5
Naemacyclus,5
Chrysomyxa,5
Mycocitrus,5
Gastrocybe,5
Nannfeldtiella,5
Spongiforma,5
Waynea,5
Cephalanthera,5
Pilaira,5
Arthromyces,5
Kretzschmariella,5
Monoblastia,5
Nothophellinus,5
Montanelia,5
Dicentra,5
Repetobasidium,5
Crocynia,5
Entodesmium,5
Coccoidea,5
Heteropatella,5
Sphaerellopsis,5
Bunodophoron,5
Podosphaera,5
Ascitendus,5
Protocreopsis,5
Baculifera,5
Tsuga,5
Enchnoa,5
Byssoporia,5
Roseodiscus,5
Leiorreuma,5
Malmidea,5
Cucurbita,5
Bulbillomyces,5
Cystangium,5
Paradidymobotryum,5
Rhodophyllus,5
Cytospora,5
Lagarobasidium,5
Podohydnangium,5
Urocystis,5
Marchandiobasidium,5
Paurocotylis,5
Cryptococcus,5
Cercopemyces,5
Trichobolus,5
Durandiella,5
Trichopeziza,5
Massariosphaeria,5
Rickiella,6
Resinomycena,6
Rugiboletus,6
Lichenochora,6
Wilsonomyces,6
Enterobryus,6
Laboulbenia,6
Eocronartium,6
Woldmaria,6
Erioderma,6
Xanthoriicola,6
Lanzia,6
Trichopezizoideae,6
Quercus,6
Whalleya,6
Vahliella,6
Hypocopra,6
Saprolegnia,6
Paraeccilia,6
Marchantia,6
Heterochaete,6
Thecotheus,6
Hypoderma,6
Paratrichophaea,6
Macbrideola,6
Thyridaria,6
Parmastomyces,6
Hydnellun,6
Scoliciosporum,6
Trichopezizella,6
Lopharia,6
Neurospora,6
Ileodictyon,6
Meleagris,6
Graphiola,6
Lichenoconium,6
Murispora,6
Stilbocrea,6
Weraroa,6
Montagnula,6
Fuscoboletinus,6
Volutella,6
Microsporum,6
Gastrosporium,6
Glomerella,6
Ombrophila,6
Godronia,6
Sacrosphaera,6
Sagaranella,6
Lithothelium,6
Plagiostoma,6
Psilachnum,6
Mycocalicium,6
Hypochniciellum,6
Abies,6
Boudiera,6
Botryosphaeria,6
Annellodochium,6
Delitschia,6
Cyanobacteria,6
Capnodium,6
Allopsalliota,6
Catapyrenium,6
Blumeria,6
Amphisphaeria,6
Drepanoconis,6
Cephalotrichum,6
Amplistroma,6
Dennisiodiscus,6
Dyplolabia,6
Diplotoma,6
Corynea,6
Asterodon,6
Clavogaster,6
Pezoloma,7
Plagiochasma,7
Calostilbe,7
Veronaea,7
Sclerotium,7
Cistella,7
Inonotopsis,7
Microbotryum,7
Mycomicrothelia,7
Scortechinia,7
Trochila,7
Frosty,7
Cetradonia,7
Naematoloma,7
Cellypha,7
Cellulariella,7
Omphalinae,7
Amniculicola,7
