"","x"
"1",0.515216404615702
"2",0.270033294016107
"3",0.283391572363097
"4",0.291608124634885
"5",0.301672087085504
"6",0.320494680824661
"7",0.328143687616456
"8",0.333977725366659
"9",0.340585539208887
"10",0.348284038531364
"11",0.353090009720338
"12",0.214028045560175
"13",0.218814099622192
"14",0.222415909460315
"15",0.182999090141006
"16",0.191864082274377
"17",0.196005710873003
"18",0.200299879450643
"19",0.202442700321759
"20",0.209429267882088
"21",0.216912923842844
"22",0.21950958586976
"23",0.225058889746754
"24",0.227521766212752
"25",0.228690301899051
"26",0.232734722600186
"27",0.23816198139681
"28",0.24120671933854
"29",0.242714417551284
"30",0.234507680148232
"31",0.236276047339869
"32",0.237006486626645
"33",0.238248111728837
"34",0.238432016322141
"35",0.24066537299574
"36",0.215449270053988
"37",0.218158833075841
"38",0.0874681209944672
"39",0.087323073509187
"40",0.0894249225301584
"41",0.0879072507564031
"42",0.0931472390342133
"43",0.0938874458869005
"44",0.0941538567403906
"45",0.0943281135520583
"46",0.0935541604818695
"47",0.0940822962703122
"48",0.0850162020283581
"49",0.0859461064719789
"50",0.0865831008709689
"51",0.0881611917581871
"52",0.0899712376092295
"53",0.091121801654984
"54",0.0911607705109519
"55",0.0947101054819856
"56",0.0950780001781576
"57",0.0975835586430721
"58",0.0954931125494786
"59",0.0957282401515183
"60",0.0957010365215205
"61",0.0978272944599949
"62",0.0976114238275915
"63",0.0977025846635343
"64",0.0979129076091874
"65",0.10072936782011
"66",0.0996845809788785
"67",0.100002187275393
"68",0.0990573745529368
"69",0.0998967656108202
"70",0.101570144207534
"71",0.100871446199308
"72",0.103311508293084
"73",0.105127482783328
"74",0.104419008205493
"75",0.104890870551255
"76",0.104579684107479
"77",0.100018615718699
"78",0.100638761105449
"79",0.101681846281471
"80",0.1005629809982
"81",0.10218861978091
"82",0.103068623866372
"83",0.105451340440227
"84",0.107488552087151
"85",0.105645593480871
"86",0.105740086965404
"87",0.110568813616383
"88",0.112562063480522
"89",0.110046722209341
"90",0.110978381253466
"91",0.112327076735469
"92",0.111856229245748
"93",0.111929917294122
"94",0.115376155000255
"95",0.116668533079393
"96",0.114385199380867
"97",0.114325098633185
"98",0.113325607348502
"99",0.113350699115987
"100",0.113788550734785
"101",0.114348650576051
"102",0.114017685334778
"103",0.114838115141345
"104",0.114845828503949
"105",0.114192963162565
"106",0.114419831830857
"107",0.116194105547797
"108",0.118045646999363
"109",0.117879483880486
"110",0.116011333103131
"111",0.113713725207579
"112",0.111121225074803
"113",0.111417758175413
"114",0.111155456652157
"115",0.111056377565758
"116",0.111817829602182
"117",0.111024435687504
"118",0.111700347137881
"119",0.113962047385364
"120",0.113174737982974
"121",0.0989006227511159
"122",0.0993134397252928
"123",0.0944772535897704
"124",0.0959920266576933
"125",0.0943203035036223
"126",0.0945716219948361
"127",0.0939739235297128
