	id_temp	official_name_id
35143	55213	55213.0
35144	55214	55214.0
35145	55215	55215.0
35146	55216	55216.0
35147	55217	55217.0
35148	55218	55218.0
35149	55219	55219.0
35150	55220	55220.0
35151	55221	55221.0
35152	55222	55222.0
35153	55223	55223.0
35154	55224	55224.0
35155	55225	55225.0
35156	55226	55226.0
35157	55227	55227.0
35158	55228	55228.0
35159	55229	55229.0
35160	55230	55230.0
35161	55231	55231.0
35162	55232	55232.0
35163	55233	55233.0
35164	55234	55234.0
35165	55235	55235.0
35166	55236	55236.0
35167	55237	55237.0
35168	55238	55238.0
35169	55239	55239.0
35170	55240	55240.0
35171	55241	55241.0
35172	55242	55242.0
35173	55243	55243.0
35174	55244	55244.0
35175	55245	55245.0
35176	55246	55246.0
35177	55247	55247.0
35178	55248	55248.0
35179	55249	55249.0
35180	55250	55250.0
35181	55251	55251.0
35182	55252	55252.0
35183	55253	55253.0
35184	55254	55254.0
35185	55255	55255.0
35186	55256	55256.0
35187	55257	55257.0
35188	55258	55258.0
35189	55259	55259.0
35190	55260	55260.0
35191	55261	55261.0
35192	55262	55262.0
35193	55263	55263.0
35194	55264	55264.0
35195	55265	55265.0
35196	55266	55266.0
35197	55267	55267.0
35198	55268	55268.0
35199	55269	55269.0
35200	55270	55270.0
35201	55271	55271.0
35202	55272	55272.0
35203	55273	55273.0
35204	55274	55274.0
35205	55275	55275.0
35206	55276	55276.0
35207	55277	55277.0
35208	55278	55278.0
35209	55279	55279.0
35210	55280	55280.0
35211	55281	55281.0
35212	55282	55282.0
35213	55283	55283.0
35214	55284	55284.0
35215	55285	55285.0
35216	55286	55286.0
35217	55287	55287.0
35218	55288	55288.0
35219	55289	55289.0
35220	55290	55290.0
35221	55291	55291.0
35222	55292	55292.0
35223	55293	55293.0
35224	55294	55294.0
35225	55295	55295.0
35226	55296	55296.0
35227	55297	55297.0
35228	55298	55298.0
35229	55299	55299.0
35230	55300	55300.0
35231	55302	55302.0
35232	55303	55303.0
35233	55304	55304.0
35234	55305	55305.0
35235	55306	55306.0
35236	55307	55307.0
35237	55308	55308.0
35238	55309	55309.0
35239	55310	55310.0
35240	55311	55311.0
35241	55312	55312.0
35242	55313	55313.0
35243	55314	55314.0
35244	55315	55315.0
35245	55316	55316.0
35246	55317	55317.0
35247	55318	55318.0
35248	55319	55319.0
35249	55320	55320.0
35250	55321	55321.0
35251	55322	55322.0
35252	55323	55323.0
35253	55324	55324.0
35254	55325	55325.0
35255	55326	55326.0
35256	55327	55327.0
35257	55328	55328.0
35258	55329	55329.0
35259	55330	55330.0
35260	55331	55331.0
35261	55332	55332.0
35262	55333	55333.0
35263	55334	55334.0
35264	55335	55335.0
35265	55336	55336.0
35266	55337	55337.0
35267	55338	55338.0
35268	55339	55339.0
35269	55340	55340.0
35270	55341	55341.0
35271	55342	55342.0
35272	55343	55343.0
35273	55344	55344.0
35274	55345	55345.0
35275	55346	55346.0
35276	55347	55347.0
35277	55348	55348.0
35278	55349	55349.0
35279	55350	55350.0
35280	55351	55351.0
35281	55352	55352.0
35282	55353	55353.0
35283	55354	55354.0
35284	55355	55355.0
35285	55356	55356.0
35286	55357	55357.0
35287	55358	55358.0
35288	55359	55359.0
35289	55360	55360.0
35290	55361	55361.0
35291	55362	55362.0
35292	55363	55363.0
35293	55364	55364.0
35294	55365	55365.0
35295	55366	55366.0
35296	55367	55367.0
35297	55368	55368.0
35298	55369	55369.0
35299	55370	55370.0
35300	55371	55371.0
35301	55372	55372.0
35302	55373	55373.0
35303	55374	55374.0
35304	55375	55375.0
35305	55376	55376.0
35306	55377	55377.0
35307	55378	55378.0
35308	55379	55379.0
35309	55380	55380.0
35310	55381	55381.0
35311	55382	55382.0
35312	55383	55383.0
35313	55384	55384.0
35314	55385	55385.0
35315	55386	55386.0
35316	55387	55387.0
35317	55388	55388.0
35318	55390	55390.0
35319	55391	55391.0
35320	55392	55392.0
35321	55393	55393.0
35322	55394	55394.0
35323	55395	55395.0
35324	55396	55396.0
35325	55397	55397.0
35326	55398	55398.0
35327	55399	55399.0
35328	55400	55400.0
35329	55401	55401.0
35330	55402	55402.0
35331	55403	55403.0
35332	55404	55404.0
35333	55405	55405.0
35334	55406	55406.0
35335	55407	55407.0
35336	55408	55408.0
35337	55409	55409.0
35338	55410	55410.0
35339	55411	55411.0
35340	55412	55412.0
35341	55413	55413.0
35342	55414	55414.0
35343	55415	55415.0
35344	55416	55416.0
35345	55417	55417.0
35346	55418	55418.0
35347	55419	55419.0
35348	55420	55420.0
35349	55421	55421.0
35350	55422	55422.0
35351	55423	55423.0
35352	55424	55424.0
35353	55425	55425.0
35354	55426	55426.0
35355	55427	55427.0
35356	55428	55428.0
35357	55429	55429.0
35358	55430	55430.0
35359	55431	55431.0
35360	55432	55432.0
35361	55433	55433.0
35362	55434	55434.0
35363	55435	55435.0
35364	55436	55436.0
35365	55437	55437.0
35366	55438	55438.0
35367	55439	55439.0
35368	55441	55441.0
35369	55442	55442.0
35370	55444	55444.0
35371	55445	55445.0
35372	55446	55446.0
35373	55447	55447.0
35374	55448	55448.0
35375	55449	55449.0
35376	55450	55450.0
35377	55451	55451.0
35378	55452	55452.0
35379	55453	55453.0
35380	55454	55454.0
35381	55455	55455.0
35382	55456	55456.0
35383	55457	55457.0
35384	55458	55458.0
35385	55459	55459.0
35386	55460	55460.0
35387	55461	55461.0
35388	55462	55462.0
35389	55463	55463.0
35390	55464	55464.0
35391	55465	55465.0
35392	55466	55466.0
35393	55467	55467.0
35394	55468	55468.0
35395	55469	55469.0
35396	55470	55470.0
35397	55471	55471.0
35398	55472	55472.0
35399	55473	55473.0
35400	55474	55474.0
35401	55475	55475.0
35402	55476	55476.0
35403	55477	55477.0
35404	55478	55478.0
35405	55479	55479.0
35406	55480	55480.0
35407	55481	55481.0
35408	55482	55482.0
35409	55483	55483.0
35410	55484	55484.0
35411	55485	55485.0
35412	55486	55486.0
35413	55487	55487.0
35414	55488	55488.0
35415	55489	55489.0
35416	55490	55490.0
35417	55491	55491.0
35418	55492	55492.0
35419	55493	55493.0
35420	55494	55494.0
35421	55495	55495.0
35422	55496	55496.0
35423	55497	55497.0
35424	55498	55498.0
35425	55499	55499.0
35426	55500	55500.0
35427	55501	55501.0
35428	55502	55502.0
35429	55503	55503.0
35430	55504	55504.0
35431	55505	55505.0
35432	55506	55506.0
35433	55507	55507.0
35434	55508	55508.0
35435	55509	55509.0
35436	55510	55510.0
35437	55511	55511.0
35438	55512	55512.0
35439	55513	55513.0
35440	55514	55514.0
35441	55515	55515.0
35442	55516	55516.0
35443	55517	55517.0
35444	55518	55518.0
35445	55519	55519.0
35446	55520	55520.0
35447	55521	55521.0
35448	55522	55522.0
35449	55523	55523.0
35450	55524	55524.0
35451	55525	55525.0
35452	55526	55526.0
35453	55527	55527.0
35454	55528	55528.0
35455	55529	55529.0
35456	55530	55530.0
35457	55531	55531.0
35458	55532	55532.0
35459	55533	55533.0
35460	55534	55534.0
35461	55535	55535.0
35462	55536	55536.0
35463	55537	55537.0
35464	55538	55538.0
35465	55539	55539.0
35466	55540	55540.0
35467	55541	55541.0
35468	55542	55542.0
35469	55543	55543.0
35470	55544	55544.0
35471	55545	55545.0
35472	55546	55546.0
35473	55547	55547.0
35474	55548	55548.0
35475	55549	55549.0
35476	55550	55550.0
35477	55551	55551.0
35478	55552	55552.0
35479	55553	55553.0
35480	55554	55554.0
35481	55555	55555.0
35482	55556	55556.0
35483	55557	55557.0
35484	55558	55558.0
35485	55559	55559.0
35486	55560	55560.0
