id	name	north	south	east	west
79	Lorestan, Iran	34.47	32.67	49.97	46.92
80	Bridle Trails State Park, King Co., Washington, USA	47.661	47.6463	-122.164	-122.186
81	Oakdale Dr., Cornelia, Georgia, USA	34.5447	34.5414	-83.5085	-83.5112
82	Whitethorn, California, USA	40.0318	40	-123.928	-123.952
83	Sanctuary Forest, near Whitethorn, Humboldt Co., California, USA	40.0071	40	-123.928	-123.944
84	Apalachicola National Forest, Wakulla Co., Florida, USA	30.4439	30.0572	-84.2569	-84.7183
85	Edgewood Blue, Wells Gray region, British Columbia, Canada	51.8856	51.8479	-120.011	-120.053
86	Sycamore Grove Park, Livermore, California, USA	37.6452	37.6251	-121.755	-121.783
87	Victoria, British Columbia, Canada	48.4387	48.405	-123.296	-123.415
88	Raquette Lake, Hamilton Co., New York, USA	43.8811	43.78	-74.5683	-74.6974
89	Hinton, Alberta, Canada	54.0433	51.9578	-116.565	-120.004
90	Fauntleroy Park, Seattle, Washington, USA	47.5216	47.5167	-122.379	-122.386
91	Briceland, California, USA	40.1109	40.1029	-123.896	-123.91
92	Barton Flats, San Bernardino National Forest, San Bernardino Co., California, USA	34.1874	34.154	-116.827	-116.913
93	Healdsburg, California, USA	38.6434	38.593	-122.829	-122.894
94	Jalisco, Mexico	22.4313	19.2697	-101.865	-106.062
95	Lipik, Croatia	45.4191	45.4054	17.1711	17.151
96	Buzet, Croatia	45.4129	45.3984	13.9834	13.9532
97	Forestville, California, USA	38.5033	38.4724	-122.89	-122.922
98	Monsanto, Lisboa, Portugal	38.745	38.7088	-9.1712	-9.2112
99	Avalon Penninsula, Newfoundland, Canada	48.1881	46.6117	-52.5916	-54.2285
100	Cypress Black Bayou Park, Bossier Parish, Louisiana, USA	32.716	32.6501	-93.6403	-93.7003
101	Murillo, Colombia	4.8838	4.8671	-75.1642	-75.1851
102	Redwood Valley, Mendocino Co., California, USA	39.2755	39.2543	-123.188	-123.211
103	Santa Cruz Mountains, Santa Cruz Co., California, USA	37.26	36.9883	-121.807	-122.154
104	San Francisco State University, San Francisco, California, USA	37.7322	37.7165	-122.472	-122.492
106	Near Nevado de Colima, Mexico	19.516	19.274	-103.462	-103.782
107	Lincoln Park, Seattle, Washington, USA	47.5377	47.5253	-122.392	-122.403
108	Mason Co., Washington, USA	47.7559	47.1	-122.805	-123.473
110	Steep Rock Park, Connecticut, USA	41.8235	41.5723	-73.1305	-73.4367
111	Fort Collins, Colorado, USA	40.6202	40.4866	-104.999	-105.161
112	University of British Columbia Campus, Vancouver, British Columbia, Canada	49.2803	49.2306	-123.192	-123.268
113	Longfellow Creek, Seattle, Washington, USA	47.5563	47.5338	-122.363	-122.371
